keyword_id,ranking_date,google_rank
1,2024-01-01,36
1,2024-02-01,33
1,2024-03-01,31
1,2024-04-01,30
1,2024-05-01,28
1,2024-06-01,27
1,2024-07-01,26
1,2024-08-01,24
1,2024-09-01,21
1,2024-10-01,21
1,2024-11-01,21
1,2024-12-01,19
1,2025-01-01,17
1,2025-02-01,16
1,2025-03-01,14
1,2025-04-01,13
1,2025-05-01,10
1,2025-06-01,8
1,2025-07-01,8
1,2025-08-01,8
1,2025-09-01,6
1,2025-10-01,5
1,2025-11-01,5
1,2025-12-01,4
2,2024-01-01,76
2,2024-02-01,76
2,2024-03-01,74
2,2024-04-01,71
2,2024-05-01,68
2,2024-06-01,68
2,2024-07-01,65
2,2024-08-01,64
2,2024-09-01,64
2,2024-10-01,64
2,2024-11-01,63
2,2024-12-01,60
2,2025-01-01,57
2,2025-02-01,54
2,2025-03-01,54
2,2025-04-01,54
2,2025-05-01,51
2,2025-06-01,49
2,2025-07-01,46
2,2025-08-01,45
2,2025-09-01,45
2,2025-10-01,44
2,2025-11-01,43
2,2025-12-01,43
3,2024-01-01,35
3,2024-02-01,34
3,2024-03-01,34
3,2024-04-01,33
3,2024-05-01,30
3,2024-06-01,28
3,2024-07-01,26
3,2024-08-01,24
3,2024-09-01,24
3,2024-10-01,24
3,2024-11-01,22
3,2024-12-01,19
3,2025-01-01,16
3,2025-02-01,16
3,2025-03-01,14
3,2025-04-01,11
3,2025-05-01,8
3,2025-06-01,5
3,2025-07-01,5
3,2025-08-01,3
3,2025-09-01,2
3,2025-10-01,1
3,2025-11-01,1
3,2025-12-01,1
4,2024-01-01,28
4,2024-02-01,28
4,2024-03-01,28
4,2024-04-01,28
4,2024-05-01,28
4,2024-06-01,28
4,2024-07-01,27
4,2024-08-01,25
4,2024-09-01,23
4,2024-10-01,21
4,2024-11-01,18
4,2024-12-01,17
4,2025-01-01,15
4,2025-02-01,12
4,2025-03-01,11
4,2025-04-01,10
4,2025-05-01,7
4,2025-06-01,6
4,2025-07-01,3
4,2025-08-01,1
4,2025-09-01,1
4,2025-10-01,1
4,2025-11-01,1
4,2025-12-01,1
5,2024-01-01,68
5,2024-02-01,67
5,2024-03-01,64
5,2024-04-01,61
5,2024-05-01,60
5,2024-06-01,58
5,2024-07-01,57
5,2024-08-01,56
5,2024-09-01,54
5,2024-10-01,51
5,2024-11-01,50
5,2024-12-01,47
5,2025-01-01,46
5,2025-02-01,44
5,2025-03-01,42
5,2025-04-01,42
5,2025-05-01,40
5,2025-06-01,40
