keyword_id,keyword,search_volume,keyword_difficulty,intent,category
1,keyword_1,56922,56,Transactional,Product
2,keyword_2,16295,58,Transactional,Product
3,keyword_3,1360,18,Transactional,Blog
4,keyword_4,38658,29,Informational,Product
5,keyword_5,54843,70,Navigational,Landing Page
6,keyword_6,45232,44,Informational,Blog
7,keyword_7,11784,59,Transactional,Landing Page
8,keyword_8,55386,71,Transactional,Landing Page
9,keyword_9,6765,26,Informational,Landing Page
10,keyword_10,17350,12,Informational,Product
11,keyword_11,37694,41,Transactional,Product
12,keyword_12,22462,22,Transactional,Landing Page
13,keyword_13,47691,82,Transactional,Landing Page
14,keyword_14,44631,77,Informational,Blog
15,keyword_15,16523,23,Transactional,Blog
16,keyword_16,41590,20,Transactional,Product
17,keyword_17,2185,65,Navigational,Product
18,keyword_18,1269,76,Informational,Blog
19,keyword_19,56601,38,Navigational,Landing Page
20,keyword_20,2933,18,Navigational,Product
21,keyword_21,5811,76,Transactional,Landing Page
22,keyword_22,38319,34,Informational,Blog
23,keyword_23,39688,85,Transactional,Product
24,keyword_24,18068,51,Informational,Product
25,keyword_25,54207,18,Navigational,Blog
26,keyword_26,20269,88,Informational,Product
27,keyword_27,29193,49,Transactional,Blog
28,keyword_28,6896,34,Transactional,Product
29,keyword_29,27980,14,Transactional,Blog
30,keyword_30,41934,20,Informational,Product
31,keyword_31,26158,68,Navigational,Landing Page
32,keyword_32,19442,88,Navigational,Landing Page
33,keyword_33,57501,47,Informational,Landing Page
34,keyword_34,18931,81,Transactional,Product
35,keyword_35,3247,14,Navigational,Product
36,keyword_36,58819,57,Transactional,Landing Page
37,keyword_37,59650,27,Informational,Landing Page
38,keyword_38,689,79,Transactional,Blog
39,keyword_39,19618,46,Navigational,Blog
40,keyword_40,36273,69,Navigational,Blog
41,keyword_41,54310,57,Transactional,Landing Page
42,keyword_42,2399,86,Informational,Landing Page
43,keyword_43,57386,37,Transactional,Landing Page
44,keyword_44,1767,78,Informational,Blog
45,keyword_45,32051,86,Transactional,Product
46,keyword_46,51180,49,Navigational,Landing Page
47,keyword_47,11894,54,Informational,Product
48,keyword_48,4056,71,Informational,Product
49,keyword_49,4390,67,Informational,Product
50,keyword_50,42106,76,Navigational,Blog
51,keyword_51,31240,65,Transactional,Product
52,keyword_52,15002,49,Navigational,Landing Page
53,keyword_53,22277,49,Informational,Blog
54,keyword_54,11127,86,Transactional,Landing Page
55,keyword_55,9292,42,Navigational,Landing Page
56,keyword_56,43823,15,Informational,Blog
57,keyword_57,43521,28,Informational,Landing Page
58,keyword_58,8933,89,Navigational,Landing Page
59,keyword_59,43501,49,Navigational,Blog
60,keyword_60,11516,68,Navigational,Landing Page
61,keyword_61,24397,68,Informational,Product
62,keyword_62,3112,57,Navigational,Landing Page
63,keyword_63,56693,50,Informational,Product
64,keyword_64,59207,22,Navigational,Landing Page
65,keyword_65,55887,54,Informational,Blog
66,keyword_66,55138,62,Informational,Blog
67,keyword_67,23983,51,Transactional,Landing Page
68,keyword_68,59322,72,Navigational,Blog
69,keyword_69,49055,36,Navigational,Landing Page
70,keyword_70,17659,47,Informational,Blog
71,keyword_71,45474,69,Informational,Product
72,keyword_72,41494,16,Informational,Landing Page
73,keyword_73,15041,14,Transactional,Product
74,keyword_74,36420,54,Transactional,Product
75,keyword_75,27031,67,Informational,Landing Page
76,keyword_76,2085,40,Navigational,Product
77,keyword_77,4443,32,Navigational,Landing Page
78,keyword_78,24439,51,Transactional,Product
79,keyword_79,19957,19,Transactional,Landing Page
80,keyword_80,1521,41,Informational,Landing Page
81,keyword_81,12153,62,Navigational,Blog
82,keyword_82,44073,39,Informational,Landing Page
83,keyword_83,13917,48,Transactional,Landing Page
84,keyword_84,53495,40,Navigational,Product
85,keyword_85,41257,11,Navigational,Landing Page
86,keyword_86,10192,87,Transactional,Blog
87,keyword_87,46258,86,Informational,Product
88,keyword_88,7373,21,Informational,Product
89,keyword_89,6175,48,Navigational,Blog
90,keyword_90,661,75,Transactional,Product
91,keyword_91,37565,22,Navigational,Product
92,keyword_92,27057,55,Transactional,Product
93,keyword_93,34263,36,Informational,Product
94,keyword_94,33106,26,Transactional,Blog
95,keyword_95,12034,69,Informational,Blog
96,keyword_96,29627,73,Transactional,Product
97,keyword_97,40897,44,Navigational,Product
98,keyword_98,26351,79,Informational,Blog
99,keyword_99,1516,39,Navigational,Blog
100,keyword_100,24753,80,Navigational,Blog
101,keyword_101,56091,83,Informational,Product
102,keyword_102,24776,72,Informational,Product
103,keyword_103,23747,37,Navigational,Landing Page
104,keyword_104,24800,69,Navigational,Blog
105,keyword_105,9029,88,Navigational,Product
106,keyword_106,17762,46,Navigational,Blog
107,keyword_107,9768,31,Informational,Product
108,keyword_108,21771,77,Informational,Blog
109,keyword_109,12685,29,Navigational,Product
110,keyword_110,21743,77,Transactional,Landing Page
111,keyword_111,39599,73,Transactional,Landing Page
112,keyword_112,9071,26,Informational,Blog
113,keyword_113,58336,21,Navigational,Product
114,keyword_114,40476,31,Navigational,Product
115,keyword_115,38544,26,Informational,Blog
116,keyword_116,51714,19,Transactional,Product
117,keyword_117,49716,74,Transactional,Blog
118,keyword_118,49484,31,Transactional,Product
119,keyword_119,41274,59,Informational,Blog
120,keyword_120,3068,23,Transactional,Product
121,keyword_121,55115,73,Informational,Blog
122,keyword_122,2527,56,Informational,Product
123,keyword_123,3195,38,Navigational,Landing Page
124,keyword_124,59339,85,Transactional,Product
125,keyword_125,48690,45,Informational,Blog
126,keyword_126,5758,61,Transactional,Landing Page
127,keyword_127,22502,85,Transactional,Product
128,keyword_128,40004,16,Navigational,Landing Page
129,keyword_129,33659,38,Transactional,Product
130,keyword_130,14486,20,Navigational,Landing Page
131,keyword_131,13166,42,Informational,Blog
132,keyword_132,39160,15,Transactional,Product
133,keyword_133,4061,88,Informational,Product
134,keyword_134,27354,41,Transactional,Blog
135,keyword_135,39452,60,Informational,Landing Page
136,keyword_136,52751,84,Transactional,Blog
137,keyword_137,23162,67,Transactional,Blog
138,keyword_138,8892,35,Transactional,Landing Page
139,keyword_139,31035,55,Transactional,Blog
140,keyword_140,13567,38,Transactional,Product
141,keyword_141,48533,13,Transactional,Product
142,keyword_142,52756,22,Transactional,Product
143,keyword_143,24099,48,Transactional,Blog
144,keyword_144,35722,24,Transactional,Product
145,keyword_145,12337,38,Informational,Product
146,keyword_146,14539,38,Navigational,Product
147,keyword_147,58648,84,Transactional,Product
148,keyword_148,31318,41,Navigational,Product
149,keyword_149,19615,11,Transactional,Product
150,keyword_150,11465,56,Transactional,Blog
151,keyword_151,25038,87,Informational,Product
152,keyword_152,43030,31,Informational,Product
153,keyword_153,5556,84,Navigational,Landing Page
154,keyword_154,32982,36,Informational,Blog
155,keyword_155,48216,76,Informational,Blog
156,keyword_156,8610,65,Navigational,Blog
157,keyword_157,14273,30,Informational,Blog
158,keyword_158,27766,56,Transactional,Product
159,keyword_159,53492,89,Navigational,Product
160,keyword_160,17912,68,Navigational,Landing Page
161,keyword_161,57037,15,Transactional,Landing Page
162,keyword_162,33770,28,Informational,Blog
163,keyword_163,7410,66,Navigational,Landing Page
164,keyword_164,45953,78,Navigational,Landing Page
165,keyword_165,25946,12,Transactional,Blog
166,keyword_166,56590,10,Transactional,Blog
167,keyword_167,54140,67,Informational,Landing Page
168,keyword_168,706,47,Navigational,Product
169,keyword_169,22018,24,Informational,Landing Page
170,keyword_170,22861,43,Informational,Landing Page
171,keyword_171,57373,70,Transactional,Product
172,keyword_172,23919,44,Navigational,Product
173,keyword_173,51136,73,Navigational,Blog
174,keyword_174,57510,34,Navigational,Blog
175,keyword_175,49202,33,Transactional,Landing Page
176,keyword_176,50515,21,Transactional,Product
177,keyword_177,52442,27,Transactional,Blog
178,keyword_178,57060,24,Transactional,Landing Page
179,keyword_179,42023,89,Transactional,Product
180,keyword_180,54768,36,Navigational,Landing Page
181,keyword_181,45651,81,Informational,Blog
182,keyword_182,22903,69,Navigational,Blog
183,keyword_183,18641,55,Informational,Product
184,keyword_184,15320,26,Transactional,Landing Page
185,keyword_185,40842,62,Informational,Product
186,keyword_186,6874,17,Navigational,Blog
187,keyword_187,56544,88,Navigational,Blog
188,keyword_188,2178,36,Informational,Landing Page
189,keyword_189,52894,55,Transactional,Landing Page
190,keyword_190,54288,59,Transactional,Landing Page
191,keyword_191,34327,80,Navigational,Product
192,keyword_192,56320,12,Informational,Landing Page
193,keyword_193,16698,73,Transactional,Landing Page
194,keyword_194,10414,53,Transactional,Blog
195,keyword_195,28390,62,Navigational,Blog
196,keyword_196,52809,33,Transactional,Landing Page
197,keyword_197,22799,69,Informational,Landing Page
198,keyword_198,44085,12,Navigational,Blog
199,keyword_199,44189,29,Navigational,Landing Page
200,keyword_200,43057,55,Informational,Product
201,keyword_201,49580,24,Navigational,Product
202,keyword_202,44520,34,Transactional,Product
203,keyword_203,3193,87,Transactional,Landing Page
204,keyword_204,29967,80,Informational,Blog
205,keyword_205,30223,26,Transactional,Landing Page
206,keyword_206,47199,18,Informational,Landing Page
207,keyword_207,4127,47,Informational,Blog
208,keyword_208,26439,57,Transactional,Blog
209,keyword_209,49425,69,Informational,Blog
210,keyword_210,43441,72,Transactional,Product
211,keyword_211,22334,11,Navigational,Landing Page
212,keyword_212,18547,81,Navigational,Blog
213,keyword_213,26605,20,Informational,Landing Page
214,keyword_214,10730,73,Transactional,Product
215,keyword_215,16207,86,Transactional,Product
216,keyword_216,22476,81,Navigational,Blog
217,keyword_217,44762,30,Navigational,Blog
218,keyword_218,24276,27,Transactional,Landing Page
219,keyword_219,30580,73,Informational,Blog
220,keyword_220,1806,47,Navigational,Landing Page
221,keyword_221,7276,41,Informational,Blog
222,keyword_222,27751,20,Informational,Landing Page
223,keyword_223,55516,54,Navigational,Landing Page
224,keyword_224,9974,42,Informational,Landing Page
225,keyword_225,40794,50,Informational,Landing Page
226,keyword_226,58553,17,Transactional,Product
227,keyword_227,22459,20,Informational,Landing Page
228,keyword_228,6030,60,Transactional,Blog
229,keyword_229,29820,50,Navigational,Product
230,keyword_230,54065,26,Navigational,Product
231,keyword_231,4248,85,Transactional,Landing Page
232,keyword_232,32468,55,Navigational,Product
233,keyword_233,33062,41,Informational,Landing Page
234,keyword_234,14045,88,Informational,Blog
235,keyword_235,1163,89,Informational,Landing Page
236,keyword_236,35266,63,Navigational,Product
237,keyword_237,8494,29,Informational,Blog
238,keyword_238,28521,42,Navigational,Landing Page
239,keyword_239,30803,83,Informational,Blog
240,keyword_240,51147,49,Transactional,Blog
241,keyword_241,3804,41,Navigational,Product
242,keyword_242,53415,11,Navigational,Blog
243,keyword_243,54884,42,Informational,Product
244,keyword_244,51505,86,Navigational,Blog
245,keyword_245,47076,39,Navigational,Landing Page
246,keyword_246,39853,42,Transactional,Blog
247,keyword_247,18175,86,Transactional,Landing Page
248,keyword_248,53233,35,Informational,Landing Page
249,keyword_249,44917,31,Transactional,Blog
250,keyword_250,24438,75,Informational,Landing Page
251,keyword_251,24164,47,Informational,Blog
252,keyword_252,2136,55,Informational,Blog
253,keyword_253,20580,24,Navigational,Landing Page
254,keyword_254,28228,53,Transactional,Landing Page
255,keyword_255,50350,58,Informational,Product
256,keyword_256,27236,84,Transactional,Landing Page
257,keyword_257,29173,70,Informational,Product
258,keyword_258,38005,76,Transactional,Landing Page
259,keyword_259,47823,15,Transactional,Blog
260,keyword_260,47145,18,Informational,Landing Page
261,keyword_261,1354,15,Navigational,Blog
262,keyword_262,25048,82,Transactional,Blog
263,keyword_263,39123,41,Navigational,Blog
264,keyword_264,7892,50,Navigational,Product
265,keyword_265,56180,85,Informational,Landing Page
266,keyword_266,47217,17,Informational,Blog
267,keyword_267,54901,81,Informational,Blog
268,keyword_268,22056,59,Transactional,Product
269,keyword_269,51359,71,Informational,Landing Page
270,keyword_270,39059,71,Informational,Landing Page
271,keyword_271,26809,16,Transactional,Product
272,keyword_272,22419,84,Transactional,Product
273,keyword_273,5431,89,Informational,Landing Page
274,keyword_274,53162,13,Informational,Product
275,keyword_275,33470,15,Informational,Landing Page
276,keyword_276,44715,67,Informational,Landing Page
277,keyword_277,53870,31,Navigational,Blog
278,keyword_278,13188,35,Navigational,Blog
279,keyword_279,25842,12,Informational,Landing Page
