keyword_id,conversion_date,conversions,revenue
1,2024-01-01,60,4550.84
1,2024-02-01,62,14055.09
1,2024-03-01,24,5760.52
1,2024-04-01,60,10119.63
1,2024-05-01,85,6301.61
1,2024-06-01,72,10208.54
1,2024-07-01,169,17476.2
1,2024-08-01,89,11232.18
1,2024-09-01,297,47392.83
1,2024-10-01,34,2755.88
1,2024-11-01,303,54095.67
1,2024-12-01,117,8827.4
1,2025-01-01,192,21093.93
1,2025-02-01,12,562.9
1,2025-03-01,102,17120.82
1,2025-04-01,52,11687.74
1,2025-05-01,226,16046.29
1,2025-06-01,301,38694.91
1,2025-07-01,127,27052.17
1,2025-08-01,304,42303.72
1,2025-09-01,62,7766.36
1,2025-10-01,794,190695.01
1,2025-11-01,186,29446.41
1,2025-12-01,956,220955.55
2,2024-01-01,21,4696.49
2,2024-02-01,23,4292.39
2,2024-03-01,62,8218.02
2,2024-04-01,16,2057.58
2,2024-05-01,92,16351.42
2,2024-06-01,46,4532.38
2,2024-07-01,30,5882.91
2,2024-08-01,31,1880.64
2,2024-09-01,41,7367.95
2,2024-10-01,24,1296.41
2,2024-11-01,60,10822.88
2,2024-12-01,26,1530.55
2,2025-01-01,60,8527.41
2,2025-02-01,7,1108.78
2,2025-03-01,9,2103.71
2,2025-04-01,20,4198.4
2,2025-05-01,35,4767.42
2,2025-06-01,15,1189.36
2,2025-07-01,92,9091.39
2,2025-08-01,13,2501.04
2,2025-09-01,25,4948.63
2,2025-10-01,29,5451.98
2,2025-11-01,36,7003.59
2,2025-12-01,62,10786.42
3,2024-01-01,4,319.86
3,2024-02-01,9,1760.83
3,2024-03-01,78,7085.98
3,2024-04-01,92,18992.11
3,2024-05-01,142,28383.99
3,2024-06-01,28,4959.89
3,2024-07-01,173,13215.99
3,2024-08-01,237,47316.46
3,2024-09-01,48,5745.59
3,2024-10-01,116,15315.34
3,2024-11-01,5,211.87
3,2024-12-01,122,28271.42
3,2025-01-01,121,14746.44
3,2025-02-01,102,5448.6
3,2025-03-01,31,1766.81
3,2025-04-01,426,106490.42
3,2025-05-01,228,32230.89
3,2025-06-01,260,58544.62
3,2025-07-01,416,62496.19
3,2025-08-01,428,60317.84
3,2025-09-01,8,1471.44
3,2025-10-01,1695,99848.63
3,2025-11-01,514,109193.78
3,2025-12-01,264,65672.29
4,2024-01-01,26,2731.51
4,2024-02-01,117,24804.08
4,2024-03-01,9,1391.65
4,2024-04-01,175,36127.22
4,2024-05-01,4,302.07
4,2024-06-01,109,9232.3
4,2024-07-01,12,2661.72
4,2024-08-01,47,5452.01
4,2024-09-01,177,39444.9
4,2024-10-01,266,34323.76
4,2024-11-01,210,45716.52
4,2024-12-01,248,37447.5
4,2025-01-01,37,5350.55
4,2025-02-01,310,52149.9
4,2025-03-01,53,2328.18
4,2025-04-01,126,20875.83
4,2025-05-01,212,38712.21
4,2025-06-01,479,112631.76
4,2025-07-01,738,107757.34
4,2025-08-01,67,8570.04
4,2025-09-01,643,131757.6
4,2025-10-01,1220,199282.46
4,2025-11-01,455,72368.45
4,2025-12-01,261,18050.43
5,2024-01-01,12,548.13
5,2024-02-01,86,4789.77
5,2024-03-01,62,9983.18
5,2024-04-01,30,3174.83
5,2024-05-01,42,4796.7
5,2024-06-01,6,501.95
5,2024-07-01,39,2753.8
5,2024-08-01,63,10588.6
5,2024-09-01,84,15294.84
5,2024-10-01,63,12179.51
5,2024-11-01,35,7410.06
5,2024-12-01,8,1700.37
5,2025-01-01,12,2604.96
5,2025-02-01,40,7216.29
5,2025-03-01,10,498.06
5,2025-04-01,2,249.39
5,2025-05-01,30,1827.71
5,2025-06-01,52,2946.27
5,2025-07-01,9,837.85
5,2025-08-01,39,2635.07
5,2025-09-01,153,35829.27
5,2025-10-01,1,159.08
5,2025-11-01,219,49406.02
5,2025-12-01,64,12759.56
6,2024-01-01,125,6361.58
6,2024-02-01,9,1378.6
6,2024-03-01,126,9027.91
6,2024-04-01,30,4872.37
6,2024-05-01,22,3217.13
6,2024-06-01,98,22439.4
6,2024-07-01,75,5750.01
6,2024-08-01,132,13074.12
6,2024-09-01,19,4049.62
6,2024-10-01,819,193014.98
6,2024-11-01,1427,354217.32
6,2024-12-01,281,64163.19
6,2025-01-01,611,105179.31
6,2025-02-01,532,31656.03
6,2025-03-01,424,82242.15
6,2025-04-01,412,73154.12
6,2025-05-01,274,66911.75
6,2025-06-01,180,40106.51
6,2025-07-01,1650,395777.11
6,2025-08-01,79,8242.95
6,2025-09-01,1167,290986.47
6,2025-10-01,1624,220119.8
6,2025-11-01,543,101863.86
6,2025-12-01,594,69264.61
7,2024-01-01,27,1570.03
7,2024-02-01,43,7962.16
7,2024-03-01,127,22887.79
7,2024-04-01,19,1031.67
7,2024-05-01,81,6315.14
7,2024-06-01,107,8895.45
7,2024-07-01,19,2258.47
7,2024-08-01,27,6617.48
7,2024-09-01,56,2788.11
7,2024-10-01,52,10668.26
7,2024-11-01,93,9921.51
7,2024-12-01,72,8893.13
7,2025-01-01,93,6587.86
7,2025-02-01,303,75362.11
7,2025-03-01,55,7264.14
7,2025-04-01,46,3501.85
7,2025-05-01,197,32658.35
7,2025-06-01,202,29984.11
7,2025-07-01,258,60147.54
7,2025-08-01,269,31616.43
7,2025-09-01,486,113648.8
7,2025-10-01,183,23510.92
7,2025-11-01,31,7339.83
7,2025-12-01,91,13025.73
8,2024-01-01,98,22023.49
8,2024-02-01,60,11000.49
8,2024-03-01,88,3815.14
8,2024-04-01,108,12483.02
8,2024-05-01,9,1254.61
8,2024-06-01,103,22015.35
8,2024-07-01,95,11782.72
8,2024-08-01,101,13200.03
8,2024-09-01,23,5732.93
8,2024-10-01,17,2405.48
8,2024-11-01,11,1909.71
8,2024-12-01,66,9906.72
8,2025-01-01,87,10567.82
8,2025-02-01,25,4331.75
8,2025-03-01,59,14404.94
8,2025-04-01,63,5111.0
8,2025-05-01,70,12456.8
8,2025-06-01,119,11899.24
8,2025-07-01,92,12315.99
8,2025-08-01,214,9409.21
8,2025-09-01,29,3236.62
8,2025-10-01,81,12531.63
8,2025-11-01,101,4256.48
8,2025-12-01,74,8906.65
9,2024-01-01,254,49819.06
9,2024-02-01,65,15588.05
9,2024-03-01,162,33970.32
9,2024-04-01,125,28371.38
9,2024-05-01,60,5048.75
9,2024-06-01,117,8633.73
9,2024-07-01,247,34786.81
9,2024-08-01,241,51266.82
9,2024-09-01,182,40481.95
9,2024-10-01,703,122965.18
9,2024-11-01,548,48645.78
9,2024-12-01,933,194934.7
9,2025-01-01,502,43312.09
9,2025-02-01,722,150195.51
9,2025-03-01,1331,248102.82
9,2025-04-01,501,50717.09
9,2025-05-01,172,32452.59
9,2025-06-01,85,12544.9
9,2025-07-01,541,112453.47
9,2025-08-01,780,97764.58
9,2025-09-01,1813,100396.65
9,2025-10-01,999,111228.09
9,2025-11-01,235,22188.41
9,2025-12-01,1478,181736.77
10,2024-01-01,47,4570.49
10,2024-02-01,3,249.64
10,2024-03-01,48,3725.23
10,2024-04-01,19,3868.86
10,2024-05-01,60,5388.68
10,2024-06-01,61,4075.48
10,2024-07-01,60,5634.84
10,2024-08-01,20,3119.4
10,2024-09-01,27,1632.3
10,2024-10-01,72,4872.59
10,2024-11-01,167,8967.13
10,2024-12-01,127,13021.68
10,2025-01-01,11,1209.73
10,2025-02-01,120,16924.93
10,2025-03-01,65,12379.33
10,2025-04-01,75,7194.95
10,2025-05-01,139,28614.63
10,2025-06-01,186,8336.68
10,2025-07-01,77,8534.39
10,2025-08-01,286,30391.57
10,2025-09-01,166,14568.45
10,2025-10-01,27,4184.63
10,2025-11-01,63,10222.64
10,2025-12-01,55,5339.85
11,2024-01-01,51,10160.11
11,2024-02-01,52,3905.53
11,2024-03-01,27,4139.57
11,2024-04-01,12,2668.96
11,2024-05-01,6,1011.11
11,2024-06-01,28,3890.92
11,2024-07-01,41,2674.49
11,2024-08-01,107,6708.09
11,2024-09-01,47,9124.47
11,2024-10-01,38,2132.64
11,2024-11-01,88,8944.56
11,2024-12-01,23,1601.22
11,2025-01-01,19,4583.98
11,2025-02-01,21,4336.22
11,2025-03-01,144,20868.88
11,2025-04-01,167,7151.11
11,2025-05-01,13,1211.95
11,2025-06-01,44,3360.78
11,2025-07-01,134,16770.1
11,2025-08-01,28,1324.33
11,2025-09-01,15,3524.64
11,2025-10-01,47,10509.63
11,2025-11-01,1,230.23
11,2025-12-01,152,8101.08
12,2024-01-01,36,4351.24
12,2024-02-01,77,8512.33
12,2024-03-01,96,5027.02
12,2024-04-01,53,5866.81
12,2024-05-01,100,5200.54
12,2024-06-01,131,7466.3
12,2024-07-01,65,14298.99
12,2024-08-01,30,6555.55
12,2024-09-01,201,13221.12
12,2024-10-01,38,3361.74
12,2024-11-01,223,13977.13
12,2024-12-01,262,47641.57
12,2025-01-01,309,40542.43
12,2025-02-01,128,7818.97
12,2025-03-01,36,8345.23
12,2025-04-01,281,35012.58
12,2025-05-01,126,28438.98
12,2025-06-01,300,17773.89
12,2025-07-01,206,13589.63
12,2025-08-01,463,33970.51
12,2025-09-01,747,119869.92
12,2025-10-01,782,151170.31
12,2025-11-01,6,770.63
12,2025-12-01,346,83026.0
13,2024-01-01,41,7558.8
13,2024-02-01,36,7009.0
13,2024-03-01,8,1883.72
